tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,hunt,prey_p_month,age_years,animal-reproductive-condition,animal-sex,hrs_indoors, n_cats,study-site
MickeyTag,Mickey,Felis catus,40:22.0,22:37.0, Yes,6,4,Neutered,m,8,2,AUS
JohnnyTag,Johnny,Felis catus,07:49.0,29:23.0, Yes,11,2,Neutered,m,4,3,AUS
MapleSyrupTag,MapleSyrup,Felis catus,32:51.0,08:30.0, No,0,10,Spayed,f,21,3,AUS
MugginsTag,Muggins,Felis catus,32:23.0,59:38.0, Yes,1,0,Neutered,m,2,1,AUS
CaspianTag,Caspian,Felis catus,03:41.0,07:27.0, Yes,11,10,Neutered,m,15,2,AUS
LiefTag,Lief,Felis catus,51:37.0,57:40.0, Yes,11,3,Neutered,m,24,1,AUS
RufusTag,Rufus,Felis catus,01:34.0,21:27.0, Yes,21,6,Neutered,m,18,4,AUS
UnoTag,Uno,Felis catus,32:04.0,08:11.0, Yes,1,13,Neutered,m,3,1,AUS
NellieTag,Nellie,Felis catus,32:35.0,58:59.0, Yes,2,4,Spayed,f,10,1,AUS
BobTag,Bob,Felis catus,33:27.0,42:58.0, Yes,4,7,Neutered,m,9,1,AUS
FergieTag,Fergie,Felis catus,35:45.0,21:16.0, No,4,1,Spayed,f,24,2,AUS
MarblesTag,Marbles,Felis catus,51:52.0,26:05.0, Yes,0,7,Neutered,m,20,2,AUS
