tag_id,animal_id,animal_taxon,deploy_on_date,deploy_off_date,hunt,prey_p_month,animal_reproductive_condition,animal_sex,hrs_indoors,n_cats,study_site,age_years
HufferTag,Huffer,Felis catus,1970-01-01 02:59:00,1970-01-01 08:30:00,False,4.0,Fixed,m,12.0,1,NZ,7.0
PoppyTag,Poppy,Felis catus,1970-01-01 02:17:00,1970-01-03 07:01:00,False,4.0,Fixed,f,23.0,1,NZ,16.0
MontyTag,Monty,Felis catus,1970-01-01 02:14:00,1970-01-01 12:15:00,False,4.0,Fixed,m,16.0,1,NZ,2.0
TysonTag,Tyson,Felis catus,1970-01-03 08:39:00,1970-01-01 17:04:00,True,4.0,Fixed,m,5.0,1,NZ,8.0
SophiaTag,Sophia,Felis catus,1970-01-01 01:21:00,1970-01-01 16:58:00,True,4.0,Fixed,f,10.0,1,NZ,3.0
PoppyIITag,PoppyII,Felis catus,1970-01-01 01:58:00,1970-01-02 14:47:00,False,4.0,Fixed,f,6.0,1,NZ,15.0
YasasTag,Yasas,Felis catus,1970-01-01 00:09:00,1970-01-03 05:45:00,False,4.0,Fixed,m,20.0,1,NZ,9.0
MabelTag,Mabel,Felis catus,1970-01-01 00:19:00,1970-01-01 22:36:00,True,4.0,Fixed,f,14.0,1,NZ,3.0
ColinTag,Colin,Felis catus,1970-01-01 01:50:00,1970-01-01 15:45:00,False,4.0,Fixed,m,8.0,1,NZ,3.0
MaxTag,Max,Felis catus,1970-01-01 01:52:00,1970-01-03 10:25:00,True,4.0,Fixed,m,20.0,1,NZ,1.0
PercyTag,Percy,Felis catus,1970-01-01 17:57:00,1970-01-03 08:52:00,True,4.0,Fixed,m,8.0,1,NZ,9.0
KaosTag,Kaos,Felis catus,1970-01-01 00:17:00,1970-01-01 21:41:00,True,4.0,Fixed,m,4.0,1,NZ,7.0
OkieTag,Okie,Felis catus,1970-01-01 00:19:00,1970-01-01 11:59:00,True,4.0,Fixed,f,16.0,1,NZ,1.0
RiggsTag,Riggs,Felis catus,1970-01-01 01:44:00,1970-01-03 06:05:00,True,4.0,Fixed,m,14.0,1,NZ,1.0
NalaTag,Nala,Felis catus,1970-01-01 02:04:00,1970-01-01 07:16:00,True,4.0,Fixed,f,8.0,1,NZ,1.0
AslanTag,Aslan,Felis catus,1970-01-01 02:16:00,1970-01-02 02:29:00,False,4.0,Fixed,m,15.0,1,NZ,11.0
MuffinIITag,MuffinII,Felis catus,1970-01-02 21:02:00,1970-01-02 10:17:00,True,4.0,Fixed,f,18.0,1,NZ,4.0
SylvesterTag,Sylvester,Felis catus,1970-01-01 00:52:00,1970-01-01 16:03:00,True,4.0,Fixed,m,10.0,1,NZ,7.0
CharlieTag,Charlie,Felis catus,1970-01-01 02:31:00,1970-01-02 20:08:00,False,4.0,Fixed,m,20.0,1,NZ,1.0
KyroTag,Kyro,Felis catus,1970-01-01 04:45:00,1970-01-02 04:44:00,False,4.0,Fixed,m,12.0,1,NZ,11.0
MontyIITag,MontyII,Felis catus,1970-01-01 17:14:00,1970-01-02 23:11:00,True,4.0,Fixed,m,10.0,1,NZ,1.0
BootsTag,Boots,Felis catus,1970-01-02 06:01:00,1970-01-02 18:16:00,False,4.0,Fixed,f,12.0,1,NZ,2.0
RichieTag,Richie,Felis catus,1970-01-01 02:51:00,1970-01-02 15:16:00,True,4.0,Fixed,m,4.0,1,NZ,3.0
GeorgeTag,George,Felis catus,1970-01-03 11:48:00,1970-01-02 10:01:00,True,4.0,Fixed,m,15.0,1,NZ,9.0
SamanthaTag,Samantha,Felis catus,1970-01-01 02:35:00,1970-01-02 23:18:00,True,4.0,Fixed,f,21.0,1,NZ,9.0
MaggieTag,Maggie,Felis catus,1970-01-01 02:50:00,1970-01-03 11:14:00,True,4.0,Fixed,f,15.0,1,NZ,4.0
